week_start,region,orders,sales_amount,active_customers,new_customers,churned_customers,ad_cost
2025-09-01,tokyo,414,2179473,8200,101,36,461552
2025-09-01,osaka,243,1227510,5100,51,19,262901
2025-09-01,nagoya,177,898961,3400,36,15,186538
2025-09-01,fukuoka,140,700097,2700,32,9,163714
2025-09-08,tokyo,424,2138375,8265,99,36,474796
2025-09-08,osaka,235,1269076,5132,53,18,269806
2025-09-08,nagoya,170,866618,3421,34,13,153417
2025-09-08,fukuoka,132,672221,2723,27,10,119443
2025-09-15,tokyo,410,2064192,8328,100,28,458132
2025-09-15,osaka,256,1324957,5167,63,21,289050
2025-09-15,nagoya,163,821137,3442,32,13,165020
2025-09-15,fukuoka,142,711526,2740,28,11,122784
2025-09-22,tokyo,395,2111284,8400,88,34,445044
2025-09-22,osaka,256,1336878,5209,50,23,252338
2025-09-22,nagoya,167,860759,3461,39,13,204775
2025-09-22,fukuoka,129,689445,2757,29,10,149063
2025-09-29,tokyo,405,2026411,8454,84,34,427454
2025-09-29,osaka,248,1263837,5236,49,24,231732
2025-09-29,nagoya,174,934014,3487,38,15,187462
2025-09-29,fukuoka,142,719359,2776,29,11,134053
2025-10-06,tokyo,456,2359427,8504,91,37,453865
2025-10-06,osaka,284,1445466,5261,63,22,276298
2025-10-06,nagoya,174,898985,3510,35,12,176058
2025-10-06,fukuoka,145,730327,2794,32,11,145235
2025-10-13,tokyo,486,2510314,8558,118,30,550400
2025-10-13,osaka,267,1380954,5302,58,18,259728
2025-10-13,nagoya,193,1006705,3533,37,12,179025
2025-10-13,fukuoka,160,844239,2815,37,10,168210
2025-10-20,tokyo,456,2419545,8646,102,31,494978
2025-10-20,osaka,277,1443341,5342,57,24,284896
2025-10-20,nagoya,192,962946,3558,45,15,224886
2025-10-20,fukuoka,148,772074,2842,32,11,149029
2025-10-27,tokyo,485,2463373,8717,95,37,426556
2025-10-27,osaka,266,1422467,5375,54,24,242479
2025-10-27,nagoya,183,972313,3588,37,14,168889
2025-10-27,fukuoka,157,814709,2863,33,11,155809
2025-11-03,tokyo,489,2526183,8775,108,34,545248
2025-11-03,osaka,302,1551977,5405,71,18,331611
